- 0.512 0 1 tcp 1040 ------- 0 0.0 1.0 44 69
r 0.515333 1 0 ack 40 ------- 0 1.0 0.0 42 104
+ 0.515333 0 1 tcp 1040 ------- 0 0.0 1.0 62 105
r 0.517 0 1 tcp 1040 ------- 0 0.0 1.0 43 67
+ 0.517 1 0 ack 40 ------- 0 1.0 0.0 43 106
- 0.517 1 0 ack 40 ------- 0 1.0 0.0 43 106
- 0.518933 0 1 tcp 1040 ------- 0 0.0 1.0 45 71
r 0.522267 1 0 ack 40 ------- 0 1.0 0.0 43 106
+ 0.522267 0 1 tcp 1040 ------- 0 0.0 1.0 63 107
r 0.523933 0 1 tcp 1040 ------- 0 0.0 1.0 44 69
+ 0.523933 1 0 ack 40 ------- 0 1.0 0.0 44 108
- 0.523933 1 0 ack 40 ------- 0 1.0 0.0 44 108
- 0.525867 0 1 tcp 1040 ------- 0 0.0 1.0 46 73
r 0.5292 1 0 ack 40 ------- 0 1.0 0.0 44 108
+ 0.5292 0 1 tcp 1040 ------- 0 0.0 1.0 64 109
r 0.530867 0 1 tcp 1040 ------- 0 0.0 1.0 45 71
+ 0.530867 1 0 ack 40 ------- 0 1.0 0.0 45 110
- 0.530867 1 0 ack 40 ------- 0 1.0 0.0 45 110
- 0.5328 0 1 tcp 1040 ------- 0 0.0 1.0 47 75
r 0.536133 1 0 ack 40 ------- 0 1.0 0.0 45 110
+ 0.536133 0 1 tcp 1040 ------- 0 0.0 1.0 65 111
r 0.5378 0 1 tcp 1040 ------- 0 0.0 1.0 46 73
+ 0.5378 1 0 ack 40 ------- 0 1.0 0.0 46 112
- 0.5378 1 0 ack 40 ------- 0 1.0 0.0 46 112
- 0.539733 0 1 tcp 1040 ------- 0 0.0 1.0 48 77
r 0.543067 1 0 ack 40 ------- 0 1.0 0.0 46 112
+ 0.543067 0 1 tcp 1040 ------- 0 0.0 1.0 66 113
r 0.544733 0 1 tcp 1040 ------- 0 0.0 1.0 47 75
+ 0.544733 1 0 ack 40 ------- 0 1.0 0.0 47 114
- 0.544733 1 0 ack 40 ------- 0 1.0 0.0 47 114
- 0.546667 0 1 tcp 1040 ------- 0 0.0 1.0 49 79
r 0.55 1 0 ack 40 ------- 0 1.0 0.0 47 114
+ 0.55 0 1 tcp 1040 ------- 0 0.0 1.0 67 115
r 0.551667 0 1 tcp 1040 ------- 0 0.0 1.0 48 77
+ 0.551667 1 0 ack 40 ------- 0 1.0 0.0 48 116
- 0.551667 1 0 ack 40 ------- 0 1.0 0.0 48 116
- 0.5536 0 1 tcp 1040 ------- 0 0.0 1.0 50 81
r 0.556933 1 0 ack 40 ------- 0 1.0 0.0 48 116
+ 0.556933 0 1 tcp 1040 ------- 0 0.0 1.0 68 117
r 0.5586 0 1 tcp 1040 ------- 0 0.0 1.0 49 79
+ 0.5586 1 0 ack 40 ------- 0 1.0 0.0 49 118
- 0.5586 1 0 ack 40 ------- 0 1.0 0.0 49 118
- 0.560533 0 1 tcp 1040 ------- 0 0.0 1.0 51 83
r 0.563867 1 0 ack 40 ------- 0 1.0 0.0 49 118
+ 0.563867 0 1 tcp 1040 ------- 0 0.0 1.0 69 119
r 0.565533 0 1 tcp 1040 ------- 0 0.0 1.0 50 81
+ 0.565533 1 0 ack 40 ------- 0 1.0 0.0 50 120
- 0.565533 1 0 ack 40 ------- 0 1.0 0.0 50 120
- 0.567467 0 1 tcp 1040 ------- 0 0.0 1.0 52 85
r 0.5708 1 0 ack 40 ------- 0 1.0 0.0 50 120
+ 0.5708 0 1 tcp 1040 ------- 0 0.0 1.0 70 121
r 0.572467 0 1 tcp 1040 ------- 0 0.0 1.0 51 83
+ 0.572467 1 0 ack 40 ------- 0 1.0 0.0 51 122
- 0.572467 1 0 ack 40 ------- 0 1.0 0.0 51 122
- 0.5744 0 1 tcp 1040 ------- 0 0.0 1.0 53 87
r 0.577733 1 0 ack 40 ------- 0 1.0 0.0 51 122
+ 0.577733 0 1 tcp 1040 ------- 0 0.0 1.0 71 123
r 0.5794 0 1 tcp 1040 ------- 0 0.0 1.0 52 85
+ 0.5794 1 0 ack 40 ------- 0 1.0 0.0 52 124
- 0.5794 1 0 ack 40 ------- 0 1.0 0.0 52 124
- 0.581333 0 1 tcp 1040 ------- 0 0.0 1.0 54 89
r 0.584667 1 0 ack 40 ------- 0 1.0 0.0 52 124
+ 0.584667 0 1 tcp 1040 ------- 0 0.0 1.0 72 125
r 0.586333 0 1 tcp 1040 ------- 0 0.0 1.0 53 87
+ 0.586333 1 0 ack 40 ------- 0 1.0 0.0 53 126
- 0.586333 1 0 ack 40 ------- 0 1.0 0.0 53 126
- 0.588267 0 1 tcp 1040 ------- 0 0.0 1.0 55 91
r 0.5916 1 0 ack 40 ------- 0 1.0 0.0 53 126
+ 0.5916 0 1 tcp 1040 ------- 0 0.0 1.0 73 127
r 0.593267 0 1 tcp 1040 ------- 0 0.0 1.0 54 89
+ 0.593267 1 0 ack 40 ------- 0 1.0 0.0 54 128
- 0.593267 1 0 ack 40 ------- 0 1.0 0.0 54 128
- 0.5952 0 1 tcp 1040 ------- 0 0.0 1.0 56 93
r 0.598533 1 0 ack 40 ------- 0 1.0 0.0 54 128
+ 0.598533 0 1 tcp 1040 ------- 0 0.0 1.0 74 129
r 0.6002 0 1 tcp 1040 ------- 0 0.0 1.0 55 91
+ 0.6002 1 0 ack 40 ------- 0 1.0 0.0 55 130
- 0.6002 1 0 ack 40 ------- 0 1.0 0.0 55 130
- 0.602133 0 1 tcp 1040 ------- 0 0.0 1.0 57 95
r 0.605467 1 0 ack 40 ------- 0 1.0 0.0 55 130
+ 0.605467 0 1 tcp 1040 ------- 0 0.0 1.0 75 131
r 0.607133 0 1 tcp 1040 ------- 0 0.0 1.0 56 93
+ 0.607133 1 0 ack 40 ------- 0 1.0 0.0 56 132
- 0.607133 1 0 ack 40 ------- 0 1.0 0.0 56 132
- 0.609067 0 1 tcp 1040 ------- 0 0.0 1.0 58 97
r 0.6124 1 0 ack 40 ------- 0 1.0 0.0 56 132
+ 0.6124 0 1 tcp 1040 ------- 0 0.0 1.0 76 133
r 0.614067 0 1 tcp 1040 ------- 0 0.0 1.0 57 95
+ 0.614067 1 0 ack 40 ------- 0 1.0 0.0 57 134
- 0.614067 1 0 ack 40 ------- 0 1.0 0.0 57 134
- 0.616 0 1 tcp 1040 ------- 0 0.0 1.0 59 99
r 0.619333 1 0 ack 40 ------- 0 1.0 0.0 57 134
+ 0.619333 0 1 tcp 1040 ------- 0 0.0 1.0 77 135
r 0.621 0 1 tcp 1040 ------- 0 0.0 1.0 58 97
+ 0.621 1 0 ack 40 ------- 0 1.0 0.0 58 136
- 0.621 1 0 ack 40 ------- 0 1.0 0.0 58 136
- 0.622933 0 1 tcp 1040 ------- 0 0.0 1.0 60 101
